name,type,status,description
Rabbi Danielle Leshaw,Contract,Finished,Create information website
Village Bakery,Contract,Finished,Create information website
Sandy Plunkett,Contract,Finished,Create information website
Todd Grace,Contract,Finished,Create information website
Acacia Tree Software - SousChef,Contract,Finished,Modernize and add additional functionality to web backend for SousChef iOS and Mac OS X application. http://acaciatreesoftware.com/
Ryan Nonprofits Online Training Platform,Contract,Proposed. Did not receive,Create an LMS for Non-Profit organizations
One Page Non-profit Strategic Plan,Contract,Current,"Name says it all. Help's build Eric's brand, simplifies strategic planning process, and helps us build a showcase product"
Athens Uptown Business Association Backend,Contract,Finished,Create a backend for a IOS mobile app that is used to promote businesses in Athens Ohio
VirtualProperti.es,Contract,Current,Sketchup/Ruby-based tool to export furniture layouts with various color combinations.
Athens Uncorked,Contract,Finished,Create information website
Blue Eagle Music,Contract,Finished,Create information website
Fish Guitar,Contract,Finished,Create information website
Affordable Speedy Screens,Contract,Finished,Create information website
Unity Healing Arts,Contract,Current,Make website updates
Bramble Creek Bed & Breakfast,Contract,Finished,Create information website
Athens County Crime Solvers,Contract,Finished,Create information website
O'Chocolate,Contract,Finished,Create information and e-commerce website
Reverb - IOS Notification Platform,Contract,Complete,Add additional functionality to IOS Notification Platform for Reverb. https://helloreverb.com/
OU Mechanical Engineering Scheduling App,Contract,Proposed. Not pursued,Create a scheduling tool for undergraduate students in the School of Mechanical Engineering.
MeasureMental - MeBTough,Contract,Finished,Add additional functionality and modernize website.
Yahini Homes,Contract,Finished,Create information website
Parklane Mattress Backend,Contract,Finished,Create a backend for a iOS mobile app that is used to advertise for a store.
California Criminal Law Reporter,Contract,Finished,Add additional functionality to website. https://www.californiacriminallawreporter.com/
King Family Farm,Contract,Abandoned,Create information website
Ecolibrium Solar EcoX Estimator,Contract,Current,Estimation tool for EcoX pitched-roof solar racking equipment.
App Runway,Product,Abandoned,Create a site to help startups develop a product and user base before releasing their MVP
Gister,Product,Abandoned,Create a site to allow people to easily add dynamic content to a website which can be updated via twitter.
Robot Says Rent,Product,Abandoned,Two-sided market to connect people with things to rent in their house
Askem.io,Product,Abandoned,"Ask friends questions, get an answer."
Brannigan Dastardly Album Distribution Platform,Hobby,Finished,Create a distribution app for a friends band.
Cop-A-Field,Product,Abandoned,Create a site to allow developers to pass time reading randomly selected source code Gists submitted on gist.github.com
Keg Up,Product,Open Sourced,App to help manage a kegerator in a startup. http://kegup.com/
MediaCal,Hobby,Finished,Create a calendaring system for Ohio University’s School of Media Arts and Studies. http://mediacal.mediaschool.ohio.edu/
In Silent Movies Album Distribution Platform,Contract,Finished,Create a distribution app for a friends band.
Backlogger,Product,Abandoned,App to help manage a scrum team from a product owners perspective. https://scrum-backlogger.herokuapp.com
West End Ciderhouse,Contract,Finished,Create information website
O'Betty's Red Hot,Contract,Finished,Create information website
Maceo Gabbard,Contract,Finished,Create information website
McCaulley & Company,Contract,Finished,Create information website
Holistic Birth,Contract,Finished,Create information website
Athens Casa Gal,Contract,Finished,Create information website
Harris Aircraft Delivery,Contract,Finished,Create information website
Teddi Bear Day Care,Contract,Finished,Create information website
McMillian Interests,Contract,Finished,Create information website
Union Street Market,Contract,Finished,Create information website
Athens Ohio Bars,Hobby,Sold Off,Create information website
Court Street Crawl,Hobby,Sold Off,E-commerce website of apparel and glassware
Muck Fiami,Hobby,Meandering,Create information website
Just Pints,Hobby,Meandering,"E-commerce website for custom, small batch pint glasses"
McCaulley & Company,Contract,Proposed. Not pursued,Create information website
Tony Mollica,Contract,Proposed. Not pursued,Create information website
Athens Foundation,Contract,Proposed. Did not receive,Create information website
Donkey Coffee,Contract,Proposed. Did not receive,Create information website
Ecolibrium Solar Website,Contract,Finished,Make website updates
iVideo - Audio Craft website,Contract,Finished,Create information website
iVideo - RialtoDS Logo,Contract,Finished,Create graphic identity
iVideo - RialtoDS Website,Contract,Proposed,Create information website
Crumbs Website,Contract,Finished,
Local Girls,Contract,Finished,
Sense Labs,Contract,Finished,Create Glow alpha-level backend
Hurdl,Product,Abandoned,Commit to one item a day.
GreenBack,Product,Current,"Xero and Stripe integration, done right."
